Address,Status geocode,Formatted address,Latitude,Longitude,Type,Location Type,Country,Region,Crop,Nitrogen - High,Nitrogen - Medium,Nitrogen - Low,Phosphorous - High,Phosphorous - Medium,Phosphorous - Low,Potassium - High,Potassium - Medium,Potassium - Low,pH - Acidic,pH - Neutral,pH - Alkaline, 
"Ranchi, Jharkhand",Ok,"Ranchi, Jharkhand, India",23.3440997,85.309562,"locality, political",APPROXIMATE,India,Jharkhand,"Rice, Maize, Pulses, Oilseeds",0.02%,49.74%,50.24%,24.82%,75.08%,0.10%,13.64%,79.90%,6.47%,46.07%,53.89%,0.04%,
"Sahebganj, Jharkhand","2 found, use single geocode.","Sahibganj, Jharkhand 816109, India",25.2381216,87.6453592,"locality, political",APPROXIMATE,India,Jharkhand,"Rice, Maize, Pulses, Oilseeds",1.93%,94.11%,3.96%,63.10%,34.10%,2.80%,6.48%,90.88%,2.65%,2.85%,96.01%,1.13%,
"Seraikela Kharsawan, Jharkhand",Ok,"Seraikela Kharsawan, Jharkhand, India",22.8561261,86.0121573,"administrative_area_level_3, political",APPROXIMATE,India,Jharkhand,"Rice, maize, pulses",0.17%,29.95%,69.87%,31.30%,26.78%,41.92%,9.86%,80.79%,9.35%,70.11%,29.89%,0%,
"Simdega, Jharkhand",Ok,"Simdega, Jharkhand 835223, India",22.6133396,84.5018278,"locality, political",APPROXIMATE,India,Jharkhand,"rice, maize, wheat",0.02%,51.69%,48.29%,14.02%,84.76%,1.22%,13.97%,79.29%,6.74%,55.92%,44.04%,0.04%,
"West Singhbhum, Jharkhand",Ok,"West Singhbhum, Jharkhand, India",22.3650858,85.4375574,"administrative_area_level_3, political",APPROXIMATE,India,Jharkhand,"maize, pulses",0%,68.81%,31.19%,23.35%,73.12%,3.53%,3.33%,86.14%,10.53%,33.64%,66.32%,0.04%,
"Alappuzha, Kerala",Ok,"Alappuzha, Kerala, India",9.4980667,76.3388484,"locality, political",APPROXIMATE,India,Kerala,"rice, coconut, banana",0%,0%,100%,94.58%,4.04%,1.38%,6.65%,27.26%,66.08%,7.03%,92.20%,0.77%,
"Ernakulam, Kerala",Ok,"Ernakulam, Kerala, India",9.9816358,76.2998842,"locality, political",APPROXIMATE,India,Kerala,"rice, coconut, rubber",0%,0%,100%,86.25%,8.83%,4.92%,29.34%,47.54%,23.13%,31.31%,68.69%,0%,
"Idukki, Kerala","2 found, use single geocode.","Idukki Twp, Kerala, India",9.8583987,76.9527836,"locality, political",APPROXIMATE,India,Kerala,"tea, coffee, cardamom",0%,0%,100%,59.32%,23.76%,16.92%,44.22%,39.36%,16.43%,85.05%,14.95%,0%,
"Kannur, Kerala",Ok,"Kannur, Kerala, India",11.8744775,75.3703662,"locality, political",APPROXIMATE,India,Kerala,"coconut, cashew, pepper",0%,0%,100%,69.07%,17.88%,13.05%,17.29%,50.18%,32.53%,44.81%,55.19%,0%,
"Kasaragod, Kerala",Ok,"Kasaragod, Kerala, India",12.4995966,74.9869276,"locality, political",APPROXIMATE,India,Kerala,"coconut, arecanut, rubber",0%,0%,100%,37.88%,42.29%,19.83%,16.80%,34.75%,48.45%,62.71%,37.27%,0.02%,
"Kollam, Kerala",Ok,"Kollam, Kerala, India",8.8932118,76.6141396,"locality, political",APPROXIMATE,India,Kerala,"cashew, coconut, paddy",0%,0%,100%,89.04%,8.24%,2.72%,22.07%,48.48%,29.45%,38.80%,60.80%,0.40%,
"Kottayam, Kerala",Ok,"Kottayam, Kerala, India",9.5915668,76.5221531,"locality, political",APPROXIMATE,India,Kerala,"coconut, spices, Rubber",0%,0%,100%,78.26%,14.49%,7.25%,26.65%,43.28%,30.07%,44.01%,55.97%,0.02%,
"Kozhikode, Kerala",Ok,"Kozhikode, Kerala, India",11.2587531,75.78041,"locality, political",APPROXIMATE,India,Kerala,"coconut, banana, pepper",0%,0%,100%,71.07%,19.02%,9.92%,17.95%,54.54%,27.50%,27.35%,72.65%,0%,
"Malappuram, Kerala",Ok,"Malappuram, Kerala, India",11.0509762,76.0710967,"locality, political",APPROXIMATE,India,Kerala,"Coconut, arecanut, banana",1.67%,44.17%,54.17%,61.98%,22.02%,16.00%,29.82%,48.22%,21.97%,26.50%,73.48%,0.02%,
"Palakkad, Kerala",Ok,"Palakkad, Kerala, India",10.7867303,76.6547932,"locality, political",APPROXIMATE,India,Kerala,"coconut, Rice",0%,0%,100%,71.19%,18.93%,9.88%,46.73%,40.60%,12.67%,13.43%,86.54%,0.03%,
"Pathanamthitta, Kerala",Ok,"Pathanamthitta, Kerala, India",9.2647582,76.7870414,"locality, political",APPROXIMATE,India,Kerala,"Rubber, coconut",0%,0%,100%,81.60%,14.32%,4.08%,50.07%,38.96%,10.97%,35.25%,64.71%,0.04%,
"Thiruvananthapuram, Kerala",Ok,"Thiruvananthapuram, Kerala, India",8.5241391,76.9366376,"locality, political",APPROXIMATE,India,Kerala,"coconut, rubber, banana",0%,0%,100%,87.74%,10.60%,1.66%,40.47%,44.66%,14.88%,15.69%,84.26%,0.05%,
"Thrissur, Kerala",Ok,"Thrissur, Kerala, India",10.5276416,76.2144349,"locality, political",APPROXIMATE,India,Kerala,"rice, coconut",0%,0%,100%,91.43%,6.53%,2.04%,29.40%,39.92%,30.69%,10.19%,89.78%,0.03%,
"Wayanad, Kerala","2 found, use single geocode.","Wayanad, Kerala, India",11.703206,76.0833999,"locality, political",APPROXIMATE,India,Kerala,"coffee, tea, pepper",0%,0%,100%,48.81%,23.05%,28.14%,28.65%,41.52%,29.83%,16.22%,83.78%,0%,
"Agar Malwa, Madhya Pradesh","2 found, use single geocode.","Agar, Madhya Pradesh 465441, India",23.7137337,76.0094637,"locality, political",APPROXIMATE,India,Madhya Pradesh,"Wheat, soybean, pulses",0.01%,13.04%,86.95%,4.97%,83.66%,11.38%,74.67%,15.31%,10.02%,0.33%,99.31%,0.36%,
"Alirajpur, Madhya Pradesh",Ok,"Alirajpur, Madhya Pradesh 457887, India",22.3059709,74.3558148,"locality, political",APPROXIMATE,India,Madhya Pradesh,"maize, wheat, gram",0.05%,49.70%,50.25%,44.35%,55.43%,0.22%,6.61%,92.00%,1.39%,11.60%,86.60%,1.80%,
"Anuppur, Madhya Pradesh",Ok,"Anuppur, Madhya Pradesh 484224, India",23.1148065,81.6987997,"locality, political",APPROXIMATE,India,Madhya Pradesh,"Rice, maize, pulses",0%,22.51%,77.49%,62.85%,37.14%,0.01%,0.13%,98.34%,1.53%,0.01%,99.98%,0.01%,
"Ashoknagar, Madhya Pradesh",Ok,"Ashoknagar, Madhya Pradesh, India",24.5775148,77.7318495,"locality, political",APPROXIMATE,India,Madhya Pradesh,"Wheat, gram, soybean",0.15%,5.80%,94.06%,6.49%,88.97%,4.54%,12.32%,86.97%,0.72%,0.20%,99.50%,0.30%,
"Balaghat, Madhya Pradesh","2 found, use single geocode.","Balaghat, Madhya Pradesh, India",21.812876,80.1838293,"locality, political",APPROXIMATE,India,Madhya Pradesh,"rice, wheat, pulses",0.28%,73.93%,25.79%,17.35%,80.95%,1.70%,76.23%,23.37%,0.40%,0.32%,99.57%,0.11%,
"Barwani, Madhya Pradesh",Ok,"Barwani, Madhya Pradesh 451551, India",22.0363157,74.903339,"locality, political",APPROXIMATE,India,Madhya Pradesh,"Cotton, soybean, maize",0.13%,33.80%,66.07%,6.43%,82.08%,11.50%,28.88%,70.36%,0.77%,0.23%,99.10%,0.68%,
"Betul, Madhya Pradesh","2 found, use single geocode.","Betul, Madhya Pradesh 460001, India",21.9011601,77.8960201,"locality, political",APPROXIMATE,India,Madhya Pradesh,"Soybean, wheat, gram",0.02%,4.09%,95.88%,21.88%,69.17%,8.95%,28.69%,70.25%,1.06%,0.53%,98.69%,0.78%,
"Bhind, Madhya Pradesh",Ok,"Bhind, Madhya Pradesh, India",26.5637768,78.7860916,"locality, political",APPROXIMATE,India,Madhya Pradesh,"Wheat, mustard, gram",0.10%,0.72%,99.18%,0.37%,89.58%,10.06%,68.71%,30.88%,0.41%,0.45%,99.41%,0.14%,
"Bhopal, Madhya Pradesh",Ok,"Bhopal, Madhya Pradesh, India",23.2599333,77.412615,"locality, political",APPROXIMATE,India,Madhya Pradesh,"Wheat, soybean, pulses",0.06%,36.35%,63.59%,27.73%,39.56%,32.71%,78.52%,19.86%,1.62%,0.04%,99.96%,0%,
"Burhanpur, Madhya Pradesh",Ok,"Burhanpur, Madhya Pradesh 450331, India",21.3145021,76.2180095,"locality, political",APPROXIMATE,India,Madhya Pradesh,"Cotton, banana, sugarcane",0.04%,10.13%,89.83%,0.73%,92.68%,6.60%,55.21%,42.78%,2.01%,0%,99.95%,0.05%,
"Chhatarpur, Madhya Pradesh",Ok,"Chhatarpur, Madhya Pradesh 471001, India",24.9167821,79.5910058,"locality, political",APPROXIMATE,India,Madhya Pradesh,"Wheat, gram, oilseeds",0.15%,12.94%,86.91%,46.76%,42.26%,10.99%,70.77%,27.96%,1.27%,0.08%,99.88%,0.04%,
"Chhindwara, Madhya Pradesh",Ok,"Chhindwara, Madhya Pradesh 480001, India",22.057437,78.9381729,"locality, political",APPROXIMATE,India,Madhya Pradesh,"Soybean, wheat, maize",2.04%,35.72%,62.25%,19.44%,73.75%,6.82%,17.24%,77.16%,5.60%,0.33%,99.25%,0.42%,
"Damoh, Madhya Pradesh",Ok,"Damoh, Madhya Pradesh 470661, India",23.8323022,79.4386591,"locality, political",APPROXIMATE,India,Madhya Pradesh,"Wheat, gram, and oilseeds",0.76%,67.16%,32.09%,0.22%,86.49%,13.28%,28.77%,70.53%,0.70%,0.63%,99.33%,0.04%,
"Datia, Madhya Pradesh",Ok,"Datia, Madhya Pradesh 475661, India",25.6653168,78.4609182,"locality, political",APPROXIMATE,India,Madhya Pradesh,"wheat, gram, and mustard.",0%,8.35%,91.65%,25.46%,65.96%,8.58%,25.47%,64.53%,10.00%,0.04%,98.77%,1.19%,
"Dewas, Madhya Pradesh",Ok,"Dewas, Madhya Pradesh, India",22.9675929,76.0534454,"locality, political",APPROXIMATE,India,Madhya Pradesh,"Soybean, wheat, and pulses",0.39%,33.08%,66.53%,6.94%,86.30%,6.76%,10.06%,80.36%,9.57%,1.64%,96.92%,1.44%,
"Dhar, Madhya Pradesh",Ok,"Dhar, Madhya Pradesh 454001, India",22.5980549,75.3039628,"locality, political",APPROXIMATE,India,Madhya Pradesh,"Cotton, soybean, and maize",0.05%,85.95%,13.99%,11.16%,81.88%,6.96%,22.87%,72.17%,4.96%,0.13%,99.82%,0.05%,
"Dindori, Madhya Pradesh",Ok,"Dindori, Madhya Pradesh 481880, India",22.9417931,81.0768455,"locality, political",APPROXIMATE,India,Madhya Pradesh,"Rice, maize, and pulses",2.07%,71.42%,26.51%,13.75%,73.98%,12.26%,56.73%,39.33%,3.94%,1.30%,98.63%,0.07%,
"Guna, Madhya Pradesh",Ok,"Guna, Madhya Pradesh, India",24.6323648,77.3001762,"locality, political",APPROXIMATE,India,Madhya Pradesh,"Wheat, gram, and soybean",0.13%,4.59%,95.28%,7.64%,85.13%,7.23%,0.22%,69.43%,30.35%,0.06%,99.86%,0.08%,
"Gwalior, Madhya Pradesh",Ok,"Gwalior, Madhya Pradesh, India",26.2124007,78.1772053,"locality, political",APPROXIMATE,India,Madhya Pradesh,"Wheat, mustard, and pulses",0.03%,0.03%,99.94%,98.26%,1.55%,0.19%,0.95%,98.26%,0.79%,0.16%,99.84%,0%,
"Harda, Madhya Pradesh",Ok,"Harda, Madhya Pradesh 461331, India",22.3466702,77.0889583,"locality, political",APPROXIMATE,India,Madhya Pradesh,"Soybean, wheat, and gram",0.22%,30.76%,69.02%,90.44%,9.52%,0.04%,24.59%,75.25%,0.16%,0.01%,99.94%,0.05%,
"Indore, Madhya Pradesh",Ok,"Indore, Madhya Pradesh, India",22.7195687,75.8577258,"locality, political",APPROXIMATE,India,Madhya Pradesh,"Soybean, wheat, and pulses",0.10%,0.03%,99.88%,13.41%,76.20%,10.39%,98.94%,0.80%,0.25%,0.10%,99.69%,0.21%,
"Jabalpur, Madhya Pradesh",Ok,"Jabalpur, Madhya Pradesh, India",23.1685786,79.9338798,"locality, political",APPROXIMATE,India,Madhya Pradesh,"Wheat, rice, and pulses",0%,83.71%,16.29%,33.62%,51.29%,15.09%,75.84%,23.63%,0.53%,0.02%,99.98%,0%,
"Jhabua, Madhya Pradesh",Ok,"Jhabua, Madhya Pradesh 457661, India",22.769666,74.5920921,"locality, political",APPROXIMATE,India,Madhya Pradesh,"Maize, soybean, and wheat",0.05%,49.14%,50.81%,12.95%,80.25%,6.79%,13.05%,81.09%,5.86%,0.06%,99.92%,0.02%,
"Katni, Madhya Pradesh",Ok,"Katni, Madhya Pradesh, India",23.8343441,80.3893814,"locality, political",APPROXIMATE,India,Madhya Pradesh,"Wheat, gram, and paddy",0.24%,13.46%,86.30%,11.15%,66.59%,22.26%,80.72%,18.31%,0.97%,0.05%,99.91%,0.05%,
"Khandwa (East Nimar), Madhya Pradesh",Ok,"Khandwa, Madhya Pradesh 450001, India",21.8314037,76.3497612,"locality, political",APPROXIMATE,India,Madhya Pradesh,"Cotton, Soybean, Jowar",0%,14.42%,85.58%,1.48%,78.84%,19.68%,53.08%,44.75%,2.17%,0.01%,99.99%,0.01%,
"Khargone (West Nimar), Madhya Pradesh",Ok,"Khargone, Madhya Pradesh 451001, India",21.8257464,75.6184061,"locality, political",APPROXIMATE,India,Madhya Pradesh,"Cotton, Soybean, Wheat",0.09%,9.71%,90.20%,9.73%,81.95%,8.32%,36.36%,59.78%,3.85%,0.08%,99.69%,0.23%,
"Mandla, Madhya Pradesh",Ok,"Mandla, Madhya Pradesh, India",22.5978545,80.3713531,"locality, political",APPROXIMATE,India,Madhya Pradesh,"Paddy, Maize, Wheat",0.11%,32.94%,66.95%,29.52%,68.68%,1.80%,42.28%,56.50%,1.23%,24.34%,74.83%,0.83%,
"Mandsaur, Madhya Pradesh",Ok,"Mandsaur, Madhya Pradesh, India",24.0734356,75.0679018,"locality, political",APPROXIMATE,India,Madhya Pradesh,"Opium, Garlic, Soybean, Wheat",0.25%,14.56%,85.19%,6.39%,52.61%,41.00%,22.12%,70.79%,7.09%,0.75%,96.06%,3.20%,
"Morena, Madhya Pradesh",Ok,"Morena, Madhya Pradesh 476001, India",26.4947172,77.9940222,"locality, political",APPROXIMATE,India,Madhya Pradesh,"Mustard, Wheat, Gram",0.01%,12.83%,87.16%,54.18%,41.41%,4.41%,17.33%,78.97%,3.71%,4.18%,93.50%,2.32%,
"Narsinghpur, Madhya Pradesh",Ok,"Narsinghpur, Madhya Pradesh, India",22.9473179,79.1923266,"locality, political",APPROXIMATE,India,Madhya Pradesh,"Sugarcane, Soybean, Wheat",0.07%,3.32%,96.61%,48.11%,36.10%,15.80%,66.42%,31.48%,2.10%,0.19%,99.71%,0.10%,
"Neemuch, Madhya Pradesh",Ok,"Neemuch, Madhya Pradesh 458441, India",24.4737663,74.8726497,"locality, political",APPROXIMATE,India,Madhya Pradesh,"Opium, Soybean, Garlic",0.09%,53.45%,46.46%,2.54%,49.95%,47.51%,72.26%,27.25%,0.49%,0.03%,99.64%,0.34%,
"Niwari, Madhya Pradesh","2 found, use single geocode.","Niwari, Madhya Pradesh 472442, India",25.3697238,78.7986181,"locality, political",APPROXIMATE,India,Madhya Pradesh,"Wheat, Mustard, Urad",0%,32.13%,67.87%,69.04%,29.34%,1.62%,33.14%,65.47%,1.38%,0.46%,99.22%,0.32%,
"Panna, Madhya Pradesh",Ok,"Panna, Madhya Pradesh 488001, India",24.7174633,80.1814145,"locality, political",APPROXIMATE,India,Madhya Pradesh,"Paddy, Wheat, Lentil (Masoor)",0.02%,71.83%,28.15%,2.56%,96.98%,0.45%,4.06%,95.26%,0.68%,0.41%,99.46%,0.12%,
"Raisen, Madhya Pradesh",Ok,"Raisen, Madhya Pradesh 464551, India",23.3327329,77.7823973,"locality, political",APPROXIMATE,India,Madhya Pradesh,"Wheat, Gram, Soybean",0.24%,9.45%,90.31%,2.70%,93.66%,3.64%,39.64%,59.04%,1.31%,0.02%,99.49%,0.49%,
"Rajgarh, Madhya Pradesh","3 found, use single geocode.","Rajgarh, Madhya Pradesh 465661, India",24.0078819,76.7278803,"locality, political",APPROXIMATE,India,Madhya Pradesh,"Wheat, Soybean, Mustard",0.91%,11.94%,87.14%,75.45%,22.87%,1.68%,60.48%,35.42%,4.10%,0.18%,88.20%,11.62%,
"Ratlam, Madhya Pradesh",Ok,"Ratlam, Madhya Pradesh 457001, India",23.3315103,75.0366677,"locality, political",APPROXIMATE,India,Madhya Pradesh,"Soybean, Wheat, Garlic",0.03%,12.36%,87.62%,5.57%,85.46%,8.97%,78.61%,20.54%,0.85%,0.09%,99.27%,0.63%,
"Rewa, Madhya Pradesh",Ok,"Rewa, Madhya Pradesh, India",24.5362477,81.3036946,"locality, political",APPROXIMATE,India,Madhya Pradesh,"Paddy, Wheat, Gram",0.01%,33.35%,66.63%,10.74%,88.15%,1.12%,29.73%,69.59%,0.68%,0.41%,99.48%,0.11%,
"Sagar, Madhya Pradesh",Ok,"Sagar, Madhya Pradesh, India",23.838805,78.7378068,"locality, political",APPROXIMATE,India,Madhya Pradesh,"Wheat, Gram, Soybean",12.13%,59.32%,28.55%,0.16%,52.16%,47.68%,6.19%,72.50%,21.31%,0.01%,99.98%,0.01%,
"Satna, Madhya Pradesh",Ok,"Satna, Madhya Pradesh, India",24.6005075,80.8322428,"locality, political",APPROXIMATE,India,Madhya Pradesh,"Wheat, Paddy, Lentils",0.04%,27.85%,72.11%,92.21%,5.23%,2.56%,79.26%,20.29%,0.45%,0.04%,98.29%,1.67%,
"Sehore, Madhya Pradesh",Ok,"Sehore, Madhya Pradesh 466001, India",23.2032399,77.0844044,"locality, political",APPROXIMATE,India,Madhya Pradesh,"Soybean, Wheat, Gram",0.07%,46.70%,53.24%,1.73%,83.82%,14.45%,73.85%,23.66%,2.48%,0.68%,99.26%,0.05%,
"Seoni, Madhya Pradesh",Ok,"Seoni, Madhya Pradesh 480661, India",22.0868691,79.5434841,"locality, political",APPROXIMATE,India,Madhya Pradesh,"Paddy, Soybean, Maize",0.08%,53.24%,46.68%,34.11%,60.31%,5.58%,89.08%,10.55%,0.37%,0.76%,98.92%,0.31%,
"Shahdol, Madhya Pradesh",Ok,"Shahdol, Madhya Pradesh, India",23.300232,81.3568619,"locality, political",APPROXIMATE,India,Madhya Pradesh,"Paddy, Wheat, Kodo millet",0%,9.75%,90.25%,1.95%,50.96%,47.09%,89.60%,9.60%,0.80%,6.79%,93.15%,0.06%,
"Shajapur, Madhya Pradesh",Ok,"Shajapur, Madhya Pradesh 465001, India",23.4225728,76.2871419,"locality, political",APPROXIMATE,India,Madhya Pradesh,"Soybean, Wheat, Mustard",0.02%,11.30%,88.68%,61.74%,35.41%,2.85%,0.76%,83.86%,15.37%,0.34%,99.14%,0.52%,
"Sheopur, Madhya Pradesh",Ok,"Sheopur, Madhya Pradesh 476337, India",25.67282,76.6961305,"locality, political",APPROXIMATE,India,Madhya Pradesh,"Wheat, Mustard, Gram",0.38%,2.02%,97.60%,9.86%,75.46%,14.68%,17.69%,81.40%,0.91%,0.08%,99.32%,0.60%,
"Shivpuri, Madhya Pradesh",Ok,"Shivpuri, Madhya Pradesh 473551, India",25.4320478,77.6643815,"locality, political",APPROXIMATE,India,Madhya Pradesh,"Wheat, Mustard, Soybean",0.26%,44.80%,54.94%,87.11%,11.54%,1.35%,5.26%,90.44%,4.30%,0.47%,99.19%,0.33%,
"Sidhi, Madhya Pradesh",Ok,"Sidhi, Madhya Pradesh 486661, India",24.3956038,81.8825279,"locality, political",APPROXIMATE,India,Madhya Pradesh,"Paddy, Wheat, Gram",0.11%,55.92%,43.97%,84.20%,15.66%,0.14%,2.32%,96.12%,1.56%,15.41%,84.57%,0.02%,
"Singrauli, Madhya Pradesh",Ok,"Singrauli, Madhya Pradesh, India",24.1989544,82.6676209,"locality, political",APPROXIMATE,India,Madhya Pradesh,"Paddy, Wheat, Maize",0.23%,78.19%,21.58%,45.16%,54.70%,0.14%,3.00%,96.32%,0.68%,0.02%,99.95%,0.02%,
"Tikamgarh, Madhya Pradesh",Ok,"Tikamgarh, Madhya Pradesh 472001, India",24.7456147,78.8320779,"locality, political",APPROXIMATE,India,Madhya Pradesh,"Wheat, Gram, Urad",0%,0%,100%,37.66%,62.29%,0.05%,39.74%,60.14%,0.12%,0.02%,99.86%,0.12%,
"Ujjain, Madhya Pradesh",Ok,"Ujjain, Madhya Pradesh, India",23.1764665,75.7885163,"locality, political",APPROXIMATE,India,Madhya Pradesh,"Soybean, Wheat, Mustard",0.03%,5.50%,94.47%,41.29%,53.05%,5.66%,86.54%,12.81%,0.65%,0.15%,99.59%,0.26%,
"Umaria, Madhya Pradesh",Ok,"Umaria, Madhya Pradesh 484661, India",23.5309797,80.8294747,"locality, political",APPROXIMATE,India,Madhya Pradesh,"Paddy, Wheat, Kodo-kutki",5.41%,42.19%,52.40%,26.73%,56.44%,16.83%,24.14%,49.21%,26.65%,0.64%,99.31%,0.05%,
"Vidisha, Madhya Pradesh",Ok,"Vidisha, Madhya Pradesh 464001, India",23.5235719,77.8139718,"locality, political",APPROXIMATE,India,Madhya Pradesh,"Wheat, Gram, Soybean",0.12%,14.82%,85.06%,8.86%,89.92%,1.22%,28.80%,70.78%,0.42%,0.09%,99.69%,0.21%,
"Bagalkot, Karnataka",Ok,"Bagalkote, Karnataka, India",16.1691096,75.6615029,"locality, political",APPROXIMATE,India,Karnataka,"Sugarcane, Groundnut, Maize",0.72%,45.16%,54.12%,38.85%,55.16%,6.00%,38.45%,51.67%,9.87%,0.16%,93.34%,6.50%,
"Ballari, Karnataka",Ok,"Ballari, Karnataka, India",15.1393932,76.9214428,"locality, political",APPROXIMATE,India,Karnataka,"Paddy, Groundnut, Cotton",10.05%,58.27%,31.68%,35.55%,44.58%,19.88%,17.96%,58.23%,23.82%,3.20%,79.62%,17.17%,
"Belagavi, Karnataka",Ok,"Belagavi, Karnataka, India",15.8496953,74.4976741,"locality, political",APPROXIMATE,India,Karnataka,"Sugarcane, Maize, Soybean",0.04%,8.72%,91.24%,36.89%,28.26%,34.84%,34.88%,32.17%,32.95%,1.93%,77.09%,20.98%,
"Bengaluru Rural, Karnataka",Ok,"Bangalore Rural, Karnataka, India",13.3232149,77.4701972,"administrative_area_level_3, political",APPROXIMATE,India,Karnataka,"Ragi, Mulberry (Sericulture), Vegetables",0.10%,7.49%,92.41%,58.70%,33.73%,7.57%,29.52%,43.34%,27.14%,20.68%,79.24%,0.08%,
"Bengaluru Urban, Karnataka",Ok,"Bengaluru Urban, Karnataka, India",12.9700247,77.6536125,"administrative_area_level_3, political",APPROXIMATE,India,Karnataka,"Ragi, Vegetables, Flowers (like Chrysanthemum)",0%,6.66%,93.34%,51.82%,33.90%,14.28%,22.18%,51.10%,26.72%,9.52%,90.28%,0.20%,
"Bidar, Karnataka",Ok,"Bidar, Karnataka, India",17.9103939,77.5199079,"locality, political",APPROXIMATE,India,Karnataka,"Red Gram (Tur), Soybean, Sugarcane",0.01%,54.52%,45.47%,3.52%,85.89%,10.59%,98.65%,1.29%,0.06%,0.18%,99.73%,0.09%,
"Chamarajanagar, Karnataka",Ok,"Chamarajanagar, Karnataka 571313, India",11.9261471,76.9437312,"locality, political",APPROXIMATE,India,Karnataka,"Ragi, Turmeric, Cotton",28.80%,50.89%,20.32%,62.25%,35.23%,2.53%,18.14%,55.69%,26.16%,0.23%,99.21%,0.57%,
"Chikkaballapur, Karnataka",Ok,"Chikkaballapur, Karnataka, India",13.4354985,77.7315344,"locality, political",APPROXIMATE,India,Karnataka,"Ragi, Mulberry, Vegetables",0.01%,1.79%,98.19%,79.17%,20.28%,0.54%,30.77%,68.72%,0.51%,2.46%,97.51%,0.03%,
"Chikkamagaluru, Karnataka",Ok,"Chikkamagaluru, Karnataka, India",13.3161441,75.7720439,"locality, political",APPROXIMATE,India,Karnataka,"Coffee, Pepper, Arecanut",0.01%,15.13%,84.87%,84.87%,10.64%,4.49%,46.86%,36.95%,16.18%,14.42%,83.35%,2.23%,
"Chitradurga, Karnataka",Ok,"Chitradurga, Karnataka, India",14.2250932,76.3980464,"locality, political",APPROXIMATE,India,Karnataka,"Ragi, Groundnut, Sunflower",0.00%,5.57%,94.43%,79.57%,20.13%,0.30%,33.89%,65.47%,0.65%,0.12%,99.83%,0.06%,
"Dakshina Kannada, Karnataka",Ok,"Dakshina Kannada, Karnataka, India",12.8437814,75.2479061,"administrative_area_level_3, political",APPROXIMATE,India,Karnataka,"Arecanut, Coconut, Paddy",0.03%,3.49%,96.48%,33.17%,47.97%,18.85%,9.17%,47.40%,43.43%,24.28%,75.72%,0%,
"Davanagere, Karnataka",Ok,"Davanagere, Karnataka, India",14.4644085,75.921758,"locality, political",APPROXIMATE,India,Karnataka,"Paddy, Maize, Cotton",5.50%,85.92%,8.57%,83.73%,15.97%,0.30%,70.62%,28.51%,0.87%,0.24%,99.73%,0.03%,
"Dharwad, Karnataka",Ok,"Dharwad, Karnataka, India",15.4589236,75.007808,"locality, political",APPROXIMATE,India,Karnataka,"Cotton, Soybean, Groundnut",3.05%,91.74%,5.21%,5.63%,92.63%,1.75%,46.97%,51.36%,1.67%,0.01%,84.60%,15.39%,
"Gadag, Karnataka",Ok,"Gadag-Betageri, Gadag-Betigeri, Karnataka, India",15.4315406,75.6355149,"locality, political",APPROXIMATE,India,Karnataka,"Groundnut, Bengal Gram, Sunflower",0.04%,97.75%,2.21%,10.01%,89.91%,0.07%,40.80%,59.19%,0.01%,0.10%,99.79%,0.11%,
"Hassan, Karnataka",Ok,"Hassan, Karnataka, India",13.0033234,76.1003894,"locality, political",APPROXIMATE,India,Karnataka,"Paddy, Coffee, Potato",15.91%,82.12%,1.98%,91.94%,8.02%,0.04%,27.60%,70.96%,1.44%,1.78%,98.19%,0.03%,
"Haveri, Karnataka",Ok,"Haveri, Karnataka 581110, India",14.7950698,75.3990674,"locality, political",APPROXIMATE,India,Karnataka,"Cotton, Maize, Jowar",3.86%,63.33%,32.81%,8.09%,86.48%,5.43%,13.26%,82.62%,4.11%,4.79%,92.44%,2.76%,
"Kalaburagi, Karnataka",Ok,"Kalaburagi, Karnataka, India",17.329731,76.8342957,"locality, political",APPROXIMATE,India,Karnataka,"Red Gram (Tur), Jowar, Groundnut",0.01%,19.18%,80.82%,96.25%,2.20%,1.55%,99.62%,0.31%,0.07%,0.07%,99.75%,0.18%,
"Kodagu, Karnataka",Ok,"Kodagu, Karnataka, India",12.3374942,75.8069082,"administrative_area_level_3, political",APPROXIMATE,India,Karnataka,"Coffee, Pepper, Cardamom",12.86%,74.81%,12.33%,55.51%,36.11%,8.38%,42.41%,48.79%,8.80%,0.54%,99.46%,0%,
"Kolar, Karnataka",Ok,"Kolar, Karnataka, India",13.1362143,78.1290986,"locality, political",APPROXIMATE,India,Karnataka,"Vegetables (Tomato), Mulberry, Ragi",0.01%,7.33%,92.67%,71.48%,22.33%,6.18%,17.78%,53.46%,28.76%,8.69%,91.30%,0.02%,
"Koppal, Karnataka",Ok,"Koppal, Karnataka, India",15.3504652,76.1567298,"locality, political",APPROXIMATE,India,Karnataka,"Paddy, Groundnut, Sunflower",44.26%,28.08%,27.66%,92.22%,6.53%,1.25%,62.32%,29.18%,8.50%,0.45%,97.58%,1.97%,
"Mandya, Karnataka",Ok,"Mandya, Karnataka, India",12.5218157,76.8951488,"locality, political",APPROXIMATE,India,Karnataka,"Sugarcane, Paddy, Ragi",0%,18.50%,81.50%,74.78%,17.14%,8.08%,37.32%,45.10%,17.57%,10.15%,88.47%,1.38%,
